Menu Type,Menu Name,Description,Price
maincourse,Gado-Gado Jakarta,"Steamed Vegetable Salad With Egg, Tofu and Bean Cake, Spicy Peanut Sauce",175.000
maincourse,Sour Palembang Ribs,"Braised Beef Ribs With Green Tomato And Belimbing Wuluh",265.000
maincourse,Lamongan Chiken Soup,"Sliced Chicken Soup With Glass Noodles In  A Turmeric, Lemongrass And Chicken Broth",215.000
maincourse,Oxtail Soup,"Braised Or Fried Oxtail Marinated With Soya Sauce, Chill With Aromatic Herb Broth",256.000
maincourse,Rawon Surabaya,"Braised Beef In Black Nut Broth Served With Bean Sprout And Salted Duck Egg",225.000
maincourse,Beef Rendang,"Dry Spicy Indonesian Beef Curry With Coconut Milk, Galangal, Turmeric Leaf And Ginger Served With Eggplant Balado",275.000
maincourse,Purwakarta Maranggi Beef Satay,"Coriander And Palm Sugar Marinated Beef Satay Served With Pickled Tomato, Chilli And Sweet Soya Sauce",215.000
sidedish,Fried Cassava,"Traditional Indonesian Deep Fried Cassava Roots Served With Variety Of Coconut Sauces",10.000
sidedish,Fried Tofu,“Deep Fried Bean Curd With Spicy Peanut Dipping Sauce And Bird's Eye Chili”,10.000
sidedish,Corn Fritters,“Corn Kernel Fritters With Topping Selections Of Salsa Mango- Chili Shallot-Lime And Com”,10.000
sidedish,Semarang Spring Rolls,“Fried Spring Rolls Of Bamboo Shot And Chicken Served With Garlic "Tauco" Sauce And Pickles”,10.000
dessert,Egg Tart,“Egg Yolk Milk And Sugar”,90.000
dessert,Mont Blanc,“Sponge Cake With Chestnut Cream”,115.000
dessert,Baumkuchen,“Egg Whites Sugar Margarine And Liquid Milk”,100.000
dessert,Basque Cheesecake,”Egg Sugar Cream Cheese Heavy Cream And Flour”,115.000
dessert,Castella,“Flour Sugar And Eggs”,95.000
dessert,Souffle Pancakes,"Medium Protein Flour, Sugar, Eggs, Liquid Milk, Baking Powder, Salt, And Vanilla Powder",95.000
drink,Virgin Mojito,"Made from fresh mint and soda water”,115.000
drink,Indonesia Luwak Coffee,”Luwak coffee is brewed coffee using coffee beans taken from the remains of civet/coconut civet droppings”,90.000
drink,Mango Lassi,”Mix of mango yogurt milk and a little sugar”,70.000
drink,Matcha Latte,”Matcha powder mixed with warm milk and sugar”,115.000
drink,Chocolate Milkshake,”Milk ice cream and flavored syrup then shaken together”,80.000
drink,Mineral Water,"Usual mineral water",55.000
